04/02 3 1
04/04 4 0
04/05 4 0
04/06 4 0
04/07 4 0
04/08 5 0
04/10 5 0
04/12 3 1
04/13 3 1
04/14 4 1
04/15 3 1
04/17 4 1
04/18 4 1
04/19 3 0
04/20 3 1
04/21 1 0
04/22 2 0
04/24 2 1
04/25 4 0
04/26 4 1
04/27 2 0
04/29 4 1
05/01 1 0
05/02 5 1
05/03 3 1
05/04 2 1
05/05 3 0
05/06 1 0
05/07 2 0
05/08 2 0
05/09 3 0
05/11 3 1
05/12 3 0
05/13 4 0
05/15 4 0
05/16 4 0
05/17 3 1
05/18 3 1
05/19 5 3
05/20 2 2
05/21 4 1
05/22 3 1
05/23 4 0
05/24 3 1
05/25 2 0
05/27 3 1
05/28 4 0
05/29 5 0
05/30 3 2
06/01 2 1
06/02 3 0
06/03 3 0
06/04 2 1
06/05 3 1
06/07 4 1
06/08 2 0
06/09 3 0
06/10 3 0
06/12 4 1
06/13 4 0
06/14 3 1
06/15 3 2
06/16 2 0
06/17 3 0
06/19 5 1
06/20 4 1
06/22 2 0
06/23 3 1
06/24 4 0
06/25 2 0
06/26 4 0
06/27 5 0
06/29 1 0
07/01 1 0
07/02 4 0
07/03 3 0
07/04 4 0
07/05 3 0
07/06 4 0
07/07 2 0
07/08 5 0
07/12 5 1
07/13 5 0
07/14 4 0
07/15 4 0
07/16 1 0
07/17 2 0
07/18 3 2
07/19 2 0
07/20 2 0
07/21 4 0
07/22 3 0
07/23 3 0
07/24 3 0
07/25 1 0
07/26 4 2
07/27 3 1
07/28 3 0
07/29 4 0
07/31 4 0
08/01 4 1
08/03 2 0
08/04 2 1
08/05 4 0
08/07 5 1
08/08 3 0
08/09 5 1
08/11 4 1
08/12 4 0
08/14 2 1
08/15 4 0
08/16 3 2
08/17 4 0
08/18 3 1
08/19 2 0
08/21 2 0
08/22 2 0
08/23 1 1
08/24 3 0
08/25 3 0
08/26 3 0
08/27 4 1
08/28 2 0
08/29 3 0
08/30 2 0
08/31 4 1
09/01 0 0
09/02 3 0
09/03 4 1
09/04 2 1
09/05 2 0
09/06 4 1
09/07 3 0
09/08 5 0
09/09 5 3
09/18 3 0
09/19 3 0
09/20 3 1
09/21 3 0
09/22 4 0
09/23 4 2
09/24 3 1
09/25 3 0
09/26 2 0
09/28 3 1
09/29 3 1
09/30 1 0
10/02 2 0
10/03 2 0
10/04 2 1
10/05 3 2
10/06 1 0
10/07 4 1
