4  4  12  0
4  4  10  0
4  5  10  0
4  5   8  0
4  5   8  0
4  5   5  0
4  3   9  0
4  3  10  0
4  6   9  0
4  6  11  0
4  2  10  0
4  2   9  0
4  2   9  1
4  2   8  0
4  7   9  0
4  7   9  0
5  4   4  0
5  4  12  0
5  4  10  0
5  5   8  0
5  5  10  0
5  6  10  0
5  6  10  0
5  6  10  0
6  3   8  0
6  3  10  5
6  4   6  0
6  4  11  0
6  4  12  2
6  5  11  0
6  5   7  0
6  6   4  0
6  6   8  1
6  6  10  2
7  4   9  1
7  4  10  8
7  4  11  0
7  5  10  5
7  6   6  6
7  6   4  0
7  6   6  2
7  2   6  0
7  7   9  0
7  7  11  3
7  7   6  0
