9.95  7.14  9.40  8.13  92  72  90  62
7.71  8.57  0.00  8.00  89  63  26  78
10.00  10.00  9.50  8.13  72  79  55  80
9.95  8.57  9.40  8.88  92  89  77  79
9.95  1.43  9.20  8.50  92  83  84  67
10.00  2.86  9.90  9.63  88  96  94  93
10.00  10.00  9.25  9.25  88  78  85  86
10.00  0.00  9.50  8.50  84  71  83  66
10.00  10.00  9.15  8.13  84  91  91  91
8.43  7.14  9.00  8.50  89  76  61  80
7.38  7.14  7.35  8.50  84  65  62  42
9.86  8.57  9.00  6.63  72  58  21  31
9.86  8.60  9.60  7.63  72  98  84  87
9.67  8.60  8.30  7.38  72  89  62  75
10.00  4.29  9.40  8.13  83  71  84  78
10.00  10.00  9.55  9.25  88  100  72  87
10.00  10.00  8.10  6.88  79  90  72  85
2.00  0.00  0.95  8.13  92  62  45  37
10.00  1.40  7.65  8.88  79  53  47  61
10.00  10.00  6.30  6.00  88  77  74  73
9.00  0.00  6.75  9.63  89  85  79  65
9.86  8.60  9.55  7.38  84  85  61  70
8.43  7.14  9.25  7.00  79  82  77  83
10.00  10.00  8.25  8.13  79  80  75  85
10.00  10.00  9.45  7.75  83  79  76  77
10.00  10.00  9.40  8.50  89  82  70  94
9.43  7.14  4.65  1.25  76  52  60  69
10.00  10.00  9.75  8.50  87  91  85  79
9.43  7.14  9.30  6.13  87  89  79  60
10.00  10.00  6.70  8.13  87  73  90  59
10.00  8.57  9.65  9.63  91  91  92  94
10.00  8.57  9.75  8.00  80  97  76  88
10.00  10.00  9.65  8.50  88  87  75  82
10.00  4.29  9.75  9.63  88  82  80  78
10.00  10.00  9.65  9.63  91  93  94  88
10.00  10.00  9.30  7.75  75  85  100  86
9.43  7.14  9.65  8.50  88  64  78  60
10.00  4.29  9.60  8.50  91  73  86  76
10.00  10.00  9.20  8.50  91  79  66  64
9.86  8.57  9.70  9.25  87  100  82  94
9.95  10.00  7.40  6.88  75  67  23  68
10.00  5.71  9.40  8.88  88  77  80  80
10.00  7.14  9.50  9.63  75  92  82  79
10.00  10.00  9.35  8.50  91  51  43  52
10.00  2.86  9.45  8.13  87  81  77  75
10.00  10.00  9.50  8.88  91  72  78  78
10.00  8.57  9.60  8.13  91  89  78  77
10.00  8.57  9.60  8.71  80  87  83  79
10.00  1.43  9.80  6.63  87  75  80  65
9.43  4.29  9.60  7.75  80  71  72  73
9.86  8.57  9.50  8.50  75  77  72  74
9.91  8.57  9.66  8.50  82  89  67  85
9.52  5.71  9.56  5.75  90  67  86  83
9.51  5.71  7.93  7.00  89  44  26  59
9.97  2.86  9.66  5.88  88  85  77  57
9.83  8.57  9.68  8.13  89  71  56  56
9.40  4.29  7.60  7.38  89  93  71  72
9.83  8.57  6.34  8.50  89  87  57  58
8.98  10.00  8.15  8.88  98  92  91  80
10.00  10.00  9.82  9.25  90  96  74  86
10.00  10.00  9.83  8.50  98  87  82  86
9.93  8.57  9.73  8.88  98  91  94  97
9.97  10.00  9.39  7.75  88  58  74  76
9.54  5.71  9.48  7.38  98  51  8  60
9.80  8.57  9.64  8.13  98  71  66  78
10.00  10.00  9.25  8.13  82  72  43  54
9.55  5.71  8.10  8.13  90  85  80  81
9.43  7.14  9.44  7.00  98  79  51  62
9.97  5.71  2.83  6.50  89  60  22  58
9.93  10.00  8.91  7.75  89  79  44  73
10.00  10.00  9.75  8.50  82  77  59  70
8.86  4.29  8.18  8.13  89  87  82  78
10.00  10.00  9.92  8.88  89  85  84  81
9.97  10.00  9.88  9.63  88  100  71  90
9.54  5.71  9.39  9.25  89  87  92  85
9.95  7.14  9.73  6.25  89  69  60  42
9.11  5.71  9.11  8.00  89  60  81  69
9.97  10.00  9.83  8.88  89  79  71  90
9.95  5.71  8.49  3.50  89  84  64  69
9.52  5.71  9.76  8.13  87  87  65  80
9.97  10.00  9.55  5.88  93  65  43  34
9.97  4.29  9.80  7.38  92  72  70  71
9.97  8.57  9.76  8.50  93  88  83  89
10.00  10.00  9.57  8.13  100  73  74  66
6.71  8.57  3.75  1.75  92  64  0  57
9.95  7.14  9.51  7.00  89  78  66  67
10.00  10.00  7.46  2.75  93  89  63  72
9.95  8.57  9.78  8.50  92  93  80  91
9.49  5.71  9.61  8.50  93  83  87  98
9.51  5.71  9.66  8.13  100  58  73  81
9.83  8.57  9.85  9.63  89  100  77  95
9.68  7.14  9.85  7.75  92  74  77  84
9.54  5.71  9.42  8.13  87  80  76  80
10.00  10.00  9.85  10.00  100  100  100  100
