sens spec
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0.0540540540540541
0.983870967741935 0
1 0
0.984615384615385 0
1 0.142857142857143
1 0
1 0
0.983606557377049 0.230769230769231
0.952380952380952 0.459459459459459
1 0.361111111111111
1 0.0606060606060606
0.950819672131147 0.0512820512820513
1 0.216216216216216
0.969230769230769 0.257142857142857
0.983606557377049 0.205128205128205
0.909090909090909 0.382352941176471
1 0.357142857142857
0.955882352941177 0.28125
0.970588235294118 0.1875
0.885245901639344 0.564102564102564
0.827586206896552 0.69047619047619
0.8 0.571428571428571
0.924242424242424 0.647058823529412
0.738461538461539 0.657142857142857
0.791044776119403 0.545454545454545
0.560606060606061 0.823529411764706
0.671428571428571 0.966666666666667
0.646153846153846 0.885714285714286
0.788732394366197 0.689655172413793
0.647058823529412 0.9375
0.5 0.863636363636364
0.508474576271186 0.926829268292683
0.553571428571429 0.977272727272727
0.363636363636364 0.933333333333333
0.338461538461538 0.885714285714286
0.420289855072464 0.967741935483871
0.278688524590164 1
0.28125 1
0.206349206349206 1
0.164179104477612 1
0.15 1
0.0175438596491228 1
0.0428571428571429 1
0 1
0 1
0 1
0 1
0 1
0 1
