palmitic palmitoleic stearic oleic linoleic eicosanoic linolenic eicosenoic
1222 133 227 7425 824 36 69 35
1639 172 331 6510 1124 46 91 32
1345 133 272 6801 1194 48 83 37
1339 170 275 6838 1060 46 88 43
1194 135 263 7277 889 44 95 41
1112 68 NA 7770 448 52 69 NA
1222 70 329 7605 566 48 67 NA
1136 72 341 7616 661 49 65 NA
NA NA 277 7815 784 45 65 25
1105 NA 373 7714 532 51 68 37
NA 79 305 7576 763 45 NA 36
1284 93 265 7235 893 43 77 46
1120 69 NA 7416 946 42 59 36
916 52 281 7870 694 42 64 NA
905 49 288 7747 812 49 71 56
1206 NA 287 7329 935 44 74 42
1457 182 267 7020 863 41 84 37
1327 140 193 7328 823 36 87 35
1303 100 251 7045 1049 40 86 40
1444 175 259 6876 1027 34 78 32
1505 243 226 6962 858 30 72 27
1429 162 223 6917 1041 37 77 40
1491 162 211 6994 928 37 97 38
1393 128 211 7189 870 38 93 40
1404 134 210 7110 923 40 101 43
1222 130 214 7374 856 38 89 NA
1153 74 NA NA 705 42 64 32
1169 76 307 7553 728 NA 69 32
1369 NA 237 7375 775 39 70 15
993 58 267 NA 773 41 NA 44
980 53 254 7719 815 44 69 47
967 55 273 7692 833 NA 63 NA
1128 73 354 7527 728 44 76 38
1188 85 273 7445 814 44 73 42
1257 95 247 7405 812 NA 70 35
1262 88 301 7471 704 43 71 NA
